Reference,SiteID,DB_version,Contact,license,Other repository/location,PrimaryPaper,SecondaryPaper,Type,Latitude,Longitude,Start_Date,End_Date,Measurement_method,Trt_#,Treatment,Treatment_Description,avgN_applied,N type,Sampled_days,Missing_days,PercGap,Envir_factors,Notes
quayle.10,Griffith,1,w.quayle@deakin.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/quayle.10.19/html,NA,NA,cropland,-34.3,146.03,12/26/2012,5/25/2013,auto chamber,4,bare,bare soil treatment,0,NA,119,31,0.206666667,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",15N tracer and laching
quayle.10,Griffith,1,w.quayle@deakin.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/quayle.10.19/html,NA,NA,cropland,-34.3,146.03,12/26/2012,5/25/2013,auto chamber,4,stubbl,wheat stubble treatment,NA,wheat stubbl,118,32,0.213333333,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",15N tracer and leaching
quayle.10,Griffith,1,w.quayle@deakin.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/quayle.10.19/html,NA,NA,cropland,-34.3,146.03,12/26/2012,5/25/2013,auto chamber,4,soybean,"soybeans sown into wheat stubble, irrigation to meet soybean requirement",NA,NA,118,32,0.213333333,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",15N tracer and leaching
Ruan_2013,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.s34cm,https://doi.org/10.1111/gcb.12216,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.26,-85.19,5/7/2009,11/24/2009,static chamber,3,CT_soybeans,"conventional tillage used for soybean production, coming out of CRP land",NA,NA,27,174,0.476712329,"co2, ch4, NH4, NO3, WFPS, temp, rain",average from 3 fields. may be a flux tower that could be paired with this. Need to know soybean harvest date.
Ruan_2013,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.s34cm,https://doi.org/10.1111/gcb.12216,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.26,-85.19,5/7/2009,11/24/2009,static chamber,3,NT_soybeans,"no till management used for soybean production, coming out of CRP land",NA,NA,27,174,0.476712329,"co2, ch4, NH4, NO3, WFPS, temp, rain",average from 3 fields. may be a flux tower that could be paired with this
Ruan_2013,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.s34cm,https://doi.org/10.1111/gcb.12216,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.26,-85.19,5/15/2009,11/17/2009,static chamber,3,CRP_reference,control CRP field,NA,NA,11,175,0.479452055,"co2, ch4, NH4, NO3, WFPS, temp, rain",average from 3 fields. may be a flux tower that could be paired with this
Ruan_2016,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.f1b82,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,6/16/2009,11/18/2011,static chamber,8,0,zero kilograms per hectare per year of nitrogen fertilizer applied,0,urea,83,802,0.906214689,"NO3, NH4, soilM",switchgrass biofuel across N gradient
Ruan_2016,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.f1b82,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,6/16/2009,11/18/2011,static chamber,8,28,twenty eight kilograms per hectare per year of nitrogen fertilizer applied,28,urea,83,802,0.906214689,"NO3, NH4, soilM",switchgrass biofuel across N gradient
Ruan_2016,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.f1b82,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,6/16/2009,11/18/2011,static chamber,8,56,fifty six kilograms per hectare per year of nitrogen fertilizer applied,56,urea,83,802,0.906214689,"NO3, NH4, soilM",switchgrass biofuel across N gradient
Ruan_2016,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.f1b82,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,6/16/2009,11/18/2011,static chamber,8,84,eighty four kilograms per hectare per year of nitrogen fertilizer applied,84,urea,83,802,0.906214689,"NO3, NH4, soilM",switchgrass biofuel across N gradient
Ruan_2016,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.f1b82,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,6/16/2009,11/18/2011,static chamber,8,112,one hundred and twelve kilograms per hectare per year of nitrogen fertilizer applied,112,urea,83,802,0.906214689,"NO3, NH4, soilM",switchgrass biofuel across N gradient
Ruan_2016,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.f1b82,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,6/16/2009,11/18/2011,static chamber,8,140,one hundred and forty kilograms per hectare per year of nitrogen fertilizer applied,140,urea,83,802,0.906214689,"NO3, NH4, soilM",switchgrass biofuel across N gradient
Ruan_2016,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.f1b82,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,6/16/2009,11/18/2011,static chamber,8,168,one hundred and sixty eight kilograms per hectare per year of nitrogen fertilizer applied,168,urea,83,802,0.906214689,"NO3, NH4, soilM",switchgrass biofuel across N gradient
Ruan_2016,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.f1b82,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,6/16/2009,11/18/2011,static chamber,8,196,one hundred and ninety six kilograms per hectare per year of nitrogen fertilizer applied,196,urea,83,802,0.906214689,"NO3, NH4, soilM",switchgrass biofuel across N gradient
Ruan_snow_2016,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.9c7s3.3,https://doi.org/10.1007/s10021-016-0077-9,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.26,-85.19,12/3/2010,3/6/2013,auto chamber,3,ambient-snow,control plots where snow was neither added nor removed,85,urea ammonium nitrate,272,552,0.669902913,soilT,NA
Ruan_snow_2016,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.9c7s3.3,https://doi.org/10.1007/s10021-016-0077-9,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.26,-85.19,12/3/2010,3/6/2013,auto chamber,3,double-snow,snow was added to twice the ambient levels with care to maintain snow density,85,urea ammonium nitrate,272,552,0.669902913,soilT,NA
Ruan_snow_2016,KBS,1,ruanleilei@gmail.com,CC-BY,https://doi.org/10.5061/dryad.9c7s3.3,https://doi.org/10.1007/s10021-016-0077-9,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.26,-85.19,12/3/2010,3/6/2013,auto chamber,3,no-snow,after each snow event ninety five percent of the snow was removed with a hand towel with care to not disturb snow density,85,urea ammonium nitrate,272,552,0.669902913,soilT,NA
Gelfand_2011,KBS_CRP1,1,igelfand@bgu.ac.il,CC-BY,https://doi.org/10.5061/dryad.7v378,https://doi.org/10.1073/pnas.1017277108,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,5/15/2009,11/17/2009,static chamber,4,M1,first converted site,0,NA,12,174,0.935483871,"ch4, NEE",trying to get more data from the flux tower
Gelfand_2011,KBS_CRP2,1,igelfand@bgu.ac.il,CC-BY,https://doi.org/10.5061/dryad.7v378,https://doi.org/10.1073/pnas.1017277108,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,5/15/2009,11/17/2009,static chamber,4,M2,second converted site,0,NA,12,174,0.935483871,"ch4, NEE",trying to get more data from the flux tower
Gelfand_2011,KBS_CRP3,1,igelfand@bgu.ac.il,CC-BY,https://doi.org/10.5061/dryad.7v378,https://doi.org/10.1073/pnas.1017277108,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,5/15/2009,11/17/2009,static chamber,4,M3,third converted site,0,NA,12,174,0.935483871,"ch4, NEE",trying to get more data from the flux tower
Gelfand_2011,KBS_reference,1,igelfand@bgu.ac.il,CC-BY,https://doi.org/10.5061/dryad.7v378,https://doi.org/10.1073/pnas.1017277108,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,5/15/2009,11/17/2009,static chamber,4,M4,CRP control site,0,NA,12,174,0.935483871,"ch4, NEE",trying to get more data from the flux tower
Oates_KBS_2015,KBS,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,3/25/2009,11/17/2011,static chamber,10,G1,continuous corn grown using no-till best management practices,168,NA,43,924,0.955532575,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_KBS_2015,KBS,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,3/25/2009,11/17/2011,static chamber,10,G2,phases of a corn-soybean-canola rotation using best management practices for each system,75,NA,43,924,0.955532575,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_KBS_2015,KBS,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,3/25/2009,11/17/2011,static chamber,10,G3,phases of a corn-soybean-canola rotation using best management practices for each system,75,NA,44,923,0.954498449,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_KBS_2015,KBS,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,3/25/2009,11/17/2011,static chamber,10,G4,phases of a corn-soybean-canola rotation using best management practices for each system,75,NA,43,924,0.955532575,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_KBS_2015,KBS,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,3/25/2009,11/17/2011,static chamber,10,G5,"monoculture switchgrass harvested annually post-frost and received spring applications of nitrogen fertilizer equiv to estimated removal rate, unless noted",56,NA,41,926,0.957600827,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data) 
Oates_KBS_2015,KBS,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,3/25/2009,11/17/2011,static chamber,10,G6,"miscanthus  harvested annually post-frost and received spring applications of nitrogen fertilizer equiv to estimated removal rates, unless noted",56,NA,45,922,0.953464323,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_KBS_2015,KBS,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,3/25/2009,11/17/2011,static chamber,10,G7,mixture of native grasses harvested annually post-frost and received spring applications of nitrogen fertilizer equiv to estimated removal rates- unless noted,56,NA,39,928,0.95966908,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_KBS_2015,KBS,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,Forest,42.24,-85.24,3/25/2009,11/17/2011,static chamber,10,G8,hybrid poplar harvested annually post-frost and received spring applications of nitrogen fertilizer equiv to estimated removal rates- unless noted,157,NA,46,921,0.952430196,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_KBS_2015,KBS,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,3/25/2009,11/17/2011,static chamber,10,G9,early successional field harvested annually post-frost and received spring applications of nitrogen fertilize equiv to estimated removal rates- unless noted,56,NA,39,928,0.95966908,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_KBS_2015,KBS,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.2.83,cropland,42.24,-85.24,3/25/2009,11/17/2011,static chamber,10,G10,mixture of native prairie species unfertilized harvested annually post-frost and received spring applications of nitrogen fertilize equiv to estimated removal rates- unless noted,0,NA,39,928,0.95966908,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_Arlington_2015,Arlington,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,NA,cropland,43.17,-89.22,4/7/2009,12/12/2011,static chamber,10,G1,continuous corn grown using no-till best management practices,150,NA,56,923,0.942798774,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_Arlington_2015,Arlington,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,NA,cropland,43.17,-89.22,4/7/2009,12/12/2011,static chamber,10,G2,phases of a corn-soybean-canola rotation using best management practices for each system,75,NA,55,924,0.943820225,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_Arlington_2015,Arlington,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,NA,cropland,43.17,-89.22,4/7/2009,12/12/2011,static chamber,10,G3,phases of a corn-soybean-canola rotation using best management practices for each system,75,NA,54,925,0.944841675,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_Arlington_2015,Arlington,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,NA,cropland,43.17,-89.22,4/7/2009,12/12/2011,static chamber,10,G4,phases of a corn-soybean-canola rotation using best management practices for each system,75,NA,55,924,0.943820225,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_Arlington_2015,Arlington,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,NA,cropland,43.17,-89.22,4/7/2009,12/12/2011,static chamber,10,G5,monoculture switchgrass harvested annually post-frost and received spring applications of nitrogen fertilizerequiv to estimated removal rates- unless noted,56,NA,56,923,0.942798774,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_Arlington_2015,Arlington,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,NA,cropland,43.17,-89.22,4/7/2009,12/12/2011,static chamber,10,G6,"miscanthus,  harvested annually post-frost and received spring applications of nitrogen fertilizer equiv to estimated removal rates- unless noted",56,NA,40,939,0.959141982,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_Arlington_2015,Arlington,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,NA,cropland,43.17,-89.22,4/7/2009,12/12/2011,static chamber,10,G7,mixture of native grasses harvested annually post-frost and received spring applications of nitrogen fertilizer equiv to estimated removal rates- unless noted,56,NA,56,923,0.942798774,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_Arlington_2015,Arlington,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,NA,Forest,43.17,-89.22,4/7/2009,12/12/2011,static chamber,10,G8,hybrid poplar harvested annually post-frost and received spring applications of nitrogen fertilizer equiv to  estimated removal rates- unless noted,213,NA,56,923,0.942798774,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_Arlington_2015,Arlington,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,NA,cropland,43.17,-89.22,4/7/2009,12/12/2011,static chamber,10,G9,early successional field harvested annually post-frost and received spring applications of nitrogen fertilizer equiv to estimated removal rates- unless noted,56,NA,53,926,0.945863126,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Oates_Arlington_2015,Arlington,1,oates@wisc.edu,CC-BY,https://doi.org/10.5061/dryad.j8227,https://doi.org/10.1111/gcbb.12268,NA,cropland,43.17,-89.22,4/7/2009,12/12/2011,static chamber,10,G10,mixture of native prairie species unfertilized harvested annually post-frost and received spring applications of nitrogen fertilizer equiv to estimated removal rates- unless noted,0,NA,55,924,0.943820225,"NH4, NO3, soilT, soilM, WFPS",asked for more data (especially weather data)
Gelfand_2016,KBS,1,igelfand@bgu.ac.il,CC-BY,https://doi:10.5061/dryad.bb095,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13426,NA,cropland,42.24,-85.24,6/12/1991,10/7/2016,static chamber,11,T1,corn-soy-wheat CT,70,NA,343,8906,0.96291491,"NH4, NO3, soilT, soilM",NA
Gelfand_2016,KBS,1,igelfand@bgu.ac.il,CC-BY,https://doi:10.5061/dryad.bb095,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13426,NA,cropland,42.24,-85.24,6/12/1991,10/7/2016,static chamber,11,T2,corn-soy-wheat NT,70,NA,340,8909,0.963239269,"NH4, NO3, soilT, soilM",NA
Gelfand_2016,KBS,1,igelfand@bgu.ac.il,CC-BY,https://doi:10.5061/dryad.bb095,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13426,NA,cropland,42.24,-85.24,6/12/1991,10/7/2016,static chamber,11,T3,corn-soy-wheat NT with cover crops and reduced N,70,NA,316,8933,0.965834144,"NH4, NO3, soilT, soilM",NA
Gelfand_2016,KBS,1,igelfand@bgu.ac.il,CC-BY,https://doi:10.5061/dryad.bb095,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13426,NA,cropland,42.24,-85.24,7/16/1991,10/7/2016,static chamber,11,T4,corn-soy-wheat organic with manure,NA,NA,332,8883,0.963971785,"NH4, NO3, soilT, soilM",NA
Gelfand_2016,KBS,1,igelfand@bgu.ac.il,CC-BY,https://doi:10.5061/dryad.bb095,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13426,NA,Forest,42.24,-85.24,6/12/1991,10/7/2016,static chamber,11,T5,Poplar plantation,NA,NA,307,8942,0.966807222,"NH4, NO3, soilT, soilM",NA
Gelfand_2016,KBS,1,igelfand@bgu.ac.il,CC-BY,https://doi:10.5061/dryad.bb095,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13426,NA,cropland,42.24,-85.24,6/12/1991,10/7/2016,static chamber,11,T6,Alfalfa,NA,NA,305,8944,0.967023462,"NH4, NO3, soilT, soilM",NA
Gelfand_2016,KBS,1,igelfand@bgu.ac.il,CC-BY,https://doi:10.5061/dryad.bb095,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13426,NA,Forest,42.24,-85.24,5/13/1993,11/10/2011,static chamber,11,TCF,Coniferous forest plantation,NA,NA,93,6662,0.98623242,"NH4, NO3, soilT, soilM",NA
Gelfand_2016,KBS,1,igelfand@bgu.ac.il,CC-BY,https://doi:10.5061/dryad.bb095,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13426,NA,cropland,42.24,-85.24,6/12/1992,10/7/2016,static chamber,11,T8,Never-tilled mown grassland with herbaceous vegetation mown every fall,NA,NA,191,8692,0.978498255,"NH4, NO3, soilT, soilM",NA
Gelfand_2016,KBS,1,igelfand@bgu.ac.il,CC-BY,https://doi:10.5061/dryad.bb095,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13426,NA,Forest,42.24,-85.24,6/12/1991,10/7/2016,static chamber,11,T7,Early Successional,NA,NA,324,8925,0.964969186,"NH4, NO3, soilT, soilM",NA
Gelfand_2016,KBS,1,igelfand@bgu.ac.il,CC-BY,https://doi:10.5061/dryad.bb095,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13426,NA,Forest,42.24,-85.24,6/17/1993,11/10/2011,static chamber,11,TSF,Mid-successional community,NA,NA,88,6632,0.986904762,"NH4, NO3, soilT, soilM",NA
Gelfand_2016,KBS,1,igelfand@bgu.ac.il,CC-BY,https://doi:10.5061/dryad.bb095,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13426,NA,Forest,42.24,-85.24,5/13/1993,11/10/2011,static chamber,11,TDF,Deciduous forest,NA,NA,237,6518,0.964914878,"NH4, NO3, soilT, soilM",NA
FrancisClar,FrancisClar,1,francisclar@wisc.edu,CC-BY,https://minds.wisconsin.edu/handle/1793/79416,https://doi.org/10.1002/saj2.20132,NA,cropland,47.12,8.24,4/2/2015,7/25/2018,auto chamber,2,row,on the planting row,215,Urea/UAN,580,541,48.26048171,"VWC, soilt",covariate data only available for 2015 currently
FrancisClar,FrancisClar,1,francisclar@wisc.edu,CC-BY,https://minds.wisconsin.edu/handle/1793/79416,https://doi.org/10.1002/saj2.20132,NA,cropland,47.12,8.24,4/2/2015,7/25/2018,auto chamber,2,band,on the top of fertilization band,215,Urea/UAN,583,538,47.99286351,"VWC, soilt","no info for Trt, need to be checked"
Fuchs.Chamau,Fuchs.Chamau,1,kathrin.fuchs@kit.edu,CC BY-NC-SA 4.0,NA,https://www.research-collection.ethz.ch/handle/20.500.11850/342267,https://doi.org/10.1029/2019jg005261,Pasture,47.12,8.24,1/1/2013,12/31/2016,eddy covariance,3,ParcelA.Control,Grassland with 4-6 harvests and post harvest slurry application,266,liquid slurry,1331,130,8.898015058,"soilt.10, wfps, soilN, DOC, ET, NEE, crop yield",NA
Fuchs.Chamau,Fuchs.Chamau,1,kathrin.fuchs@kit.edu,CC BY-NC-SA 4.0,NA,NA,NA,Pasture,47.12,8.24,1/1/2013,12/31/2014,eddy covariance,3,ParcelB.Control,Grassland with 4-6 harvests and post harvest slurry application,266,liquid slurry,726,4,0.273785079,"soilt.10, wfps, soilN, DOC, ET, NEE, crop yield",NA
Fuchs.Chamau,Fuchs.Chamau,1,kathrin.fuchs@kit.edu,CC BY-NC-SA 4.0,NA,NA,NA,Pasture,47.12,8.24,1/1/2015,12/31/2016,eddy covariance,3,ParcelB.Clover,"Clover oversowed on grass, no liquid slurry applied",0,None,627,104,7.118412047,"soilt.10, wfps, soilN, DOC, ET, NEE, crop yield",NA
fogarty.8,Hamilton,1,pr.grace@qut.edu.au,CC-BY,http://www.n2o.net.au/knb/metacat/fogarty.8.26/html,NA,NA,cropland,-37.73,142.02,2/1/2010,1/31/2011,NA,4,T1,winter wheat planted by direct drilling into sprayed out long term pasture,NA,NA,315,49,0.134246575,NA,NA
fogarty.8,Hamilton,1,pr.grace@qut.edu.au,CC-BY,http://www.n2o.net.au/knb/metacat/fogarty.8.26/html,NA,NA,cropland,-37.73,142.02,2/1/2010,1/31/2011,NA,4,T2,"As for treatment 1, with nitrification inhibitor sprayed onto the plots as DCD at 10 kg/ha",NA,NA,331,33,0.090410959,NA,NA
fogarty.8,Hamilton,1,pr.grace@qut.edu.au,CC-BY,http://www.n2o.net.au/knb/metacat/fogarty.8.26/html,NA,NA,cropland,-37.73,142.02,2/1/2010,1/31/2011,NA,4,T3,winter wheat planted after conventional cultivation of the soil,NA,NA,347,17,0.046575342,NA,NA
fogarty.8,Hamilton,1,pr.grace@qut.edu.au,CC-BY,http://www.n2o.net.au/knb/metacat/fogarty.8.26/html,NA,NA,cropland,-37.73,142.02,2/1/2010,1/31/2011,NA,4,T4,"As for treatment 3, with DCD also applied at least twice during the year.",NA,NA,348,16,0.043835616,NA,NA
dougherty.8,NA,1,pr.grace@qut.edu.au,CC-BY,NA,NA,NA,NA,-34.0544,150.6958,2/3/2014,4/30/2015,NA,4,0n,0 kg N applied,0,NA,437,14,0.038356164,"tmax, tmin, humi.min, humi.max, wind, rain, irrigarion, GSR.avg, soilM, WFPS, soilT, NH4, NO3",NA
dougherty.8,NA,1,pr.grace@qut.edu.au,CC-BY,NA,NA,NA,NA,-34.0544,150.6958,2/3/2014,4/30/2015,NA,4,25n,25 kg N applied,25,NA,437,14,0.038356164,"tmax, tmin, humi.min, humi.max, wind, rain, irrigarion, GSR.avg, soilM, WFPS, soilT, NH4, NO3",NA
dougherty.8,NA,1,pr.grace@qut.edu.au,CC-BY,NA,NA,NA,NA,-34.0544,150.6958,2/3/2014,4/30/2015,NA,4,100n,100 kg N applied,100,NA,437,14,0.038356164,"tmax, tmin, humi.min, humi.max, wind, rain, irrigarion, GSR.avg, soilM, WFPS, soilT, NH4, NO3",NA
dougherty.8,NA,1,pr.grace@qut.edu.au,CC-BY,NA,NA,NA,NA,-34.0544,150.6958,2/3/2014,4/30/2015,NA,4,50n,50 kg N applied,50,NA,437,14,0.031042129,"tmax, tmin, humi.min, humi.max, wind, rain, irrigarion, GSR.avg, soilM, WFPS, soilT, NH4, NO3",NA
Zhang_Yt,Rice paddy,1,NA,NA,NA,Pub is on process,NA,cropland,28.15,116.55,11/28/2008,11/5/2014,static chamber,5,NT-FS,neither tillage nor drainage with rice stubble return,180,Urea,75,2094,0.965421853,"tmax, tmin, rain, soilt.5, soilm",NA
Zhang_Yt,Rice paddy,1,gbzhang@issas.ac.cn,NA,NA,NA,NA,cropland,28.15,116.55,11/28/2008,11/5/2014,static chamber,5,CT-DS,conventional tillage and drainage with rice stubble return,180,Urea,89,2080,0.958967266,"tmax, tmin, rain, soilt.5, soilm",NA
Zhang_Yt,Rice paddy,1,NA,NA,NA,NA,NA,cropland,28.15,116.55,11/28/2008,11/5/2014,static chamber,5,CT-D,conventional tillage and drainage without rice stubble return,180,Urea,84,2085,0.961272476,"tmax, tmin, rain, soilt.5, soilm",NA
Zhang_Yt,Rice paddy,1,NA,NA,NA,NA,NA,cropland,28.15,116.55,11/28/2008,11/5/2014,static chamber,5,CT-FS,conventional tillage and no drainage with rice stubble return,180,Urea,79,2090,0.963577686,"tmax, tmin, rain, soilt.5, soilm",NA
